order_id,customer_id,order_date,shipping_date,order_status,total_amount
478503,4040,2024-08-23,2024-08-29,Pending,282.3
849501,7865,2024-09-01,2024-09-05,Delivered,359.99
724497,8340,2024-10-29,2024-11-02,Shipped,337.03
621633,2866,2024-06-16,,Cancelled,195.14
160608,8443,2024-06-23,2024-06-28,Shipped,418.61
353735,9102,2024-06-07,,Returned,265.26
528770,6155,2024-10-16,2024-10-22,Pending,447.12
704960,5923,2024-11-27,2024-12-04,Pending,388.88
963993,7936,2024-08-22,2024-08-25,Shipped,154.75
739297,3343,2024-08-05,2024-08-07,Shipped,220.35
590913,8655,2024-07-16,,Cancelled,486.7
672885,8710,2024-09-26,2024-09-28,Pending,386.53
602423,3281,2024-07-08,,Cancelled,32.86
429515,8666,2024-12-28,2024-12-30,Delivered,275.46
544726,6235,2024-08-19,2024-08-24,Pending,403.04
704766,4251,2024-12-30,2025-01-02,Shipped,328.96
531147,5789,2024-09-07,,Cancelled,464.73
137011,6304,2024-10-19,2024-10-26,Pending,337.57
198512,5723,2024-07-07,2024-07-13,Pending,219.88
261496,8334,2024-07-19,,Returned,138.74
121007,9451,2024-06-12,,Cancelled,234.27
438794,1984,2024-07-06,2024-07-08,Shipped,465.5
367262,5186,2024-11-09,,Returned,452.18
605971,3129,2024-08-01,,Returned,215.3
608033,1925,2024-06-09,2024-06-13,Delivered,110.06
845379,3929,2024-07-16,2024-07-20,Pending,146.63
905585,1377,2024-08-21,,Returned,278.14
614333,3424,2024-10-10,,Cancelled,258.32
763094,2917,2024-07-07,,Cancelled,372.45
792951,8576,2024-11-03,2024-11-09,Delivered,463.04
632267,7035,2024-10-17,2024-10-19,Delivered,273.74
166816,4731,2024-07-28,,Cancelled,308.44
649898,3102,2024-09-19,2024-09-21,Delivered,332.68
421520,1233,2024-08-12,,Returned,347.71
811913,1553,2024-09-10,2024-09-14,Delivered,475.77
299702,1422,2024-10-17,,Cancelled,392.06
728251,8714,2024-09-04,,Cancelled,62.76
724361,8143,2024-11-24,,Returned,320.0
949419,1830,2024-09-20,2024-09-25,Delivered,228.58
382928,4790,2024-09-10,2024-09-17,Shipped,50.51
813046,9597,2024-12-07,,Returned,498.72
312416,5763,2024-08-03,,Returned,185.1
930826,5206,2024-09-12,,Cancelled,253.64
605539,9599,2024-06-12,2024-06-14,Delivered,418.84
386932,6226,2024-10-24,2024-10-31,Delivered,197.72
485666,8417,2024-08-01,2024-08-08,Shipped,413.11
649639,8708,2024-09-06,2024-09-13,Pending,109.22
581035,8146,2024-08-26,2024-08-28,Pending,469.88
474274,6213,2024-12-16,,Returned,294.05
632613,6765,2024-12-29,2025-01-02,Delivered,241.98
966994,4379,2024-10-02,,Returned,291.05
547544,8782,2024-09-07,,Cancelled,411.04
836471,4913,2024-07-19,,Returned,154.35
245988,7095,2024-06-20,2024-06-24,Delivered,235.88
692961,1270,2024-11-08,2024-11-10,Shipped,125.72
962242,4268,2024-08-18,,Cancelled,394.75
754029,3587,2024-06-13,,Returned,119.96
448975,3692,2024-08-08,2024-08-10,Shipped,117.7
780771,9130,2024-10-22,,Returned,379.95
417962,3283,2024-06-16,,Cancelled,404.1
601512,7189,2024-09-24,2024-09-28,Shipped,41.54
171060,5333,2024-08-17,,Returned,304.83
991883,9046,2024-06-28,2024-06-30,Shipped,274.18
157725,4436,2024-11-08,2024-11-12,Pending,400.21
638357,3694,2024-07-28,2024-08-01,Pending,338.13
789085,2503,2024-12-08,2024-12-11,Shipped,319.79
320591,7970,2024-12-22,,Cancelled,322.47
357784,5418,2024-11-23,,Returned,115.68
610708,2478,2024-10-03,2024-10-08,Shipped,493.07
359272,5327,2024-08-20,,Cancelled,328.93
895468,2189,2024-12-24,,Returned,190.89
663256,7793,2024-11-06,2024-11-09,Delivered,468.17
468865,3347,2024-08-12,,Returned,175.08
574672,9439,2024-10-21,,Returned,310.42
717922,1704,2024-12-22,,Returned,293.94
914341,5493,2024-12-09,2024-12-11,Shipped,248.63
157269,3666,2024-09-24,2024-09-30,Delivered,58.82
549226,8428,2024-12-17,2024-12-21,Shipped,407.79
730264,8396,2024-08-21,,Returned,343.81
470807,6164,2024-10-10,2024-10-16,Delivered,44.33
874887,9302,2024-07-13,,Cancelled,401.69
392951,2442,2024-07-16,,Returned,360.9
181141,3582,2024-11-07,2024-11-13,Delivered,280.48
413915,3560,2024-12-26,2024-12-31,Shipped,35.96
195741,3186,2024-10-22,2024-10-24,Pending,325.82
326561,9944,2024-12-28,,Returned,415.37
125340,3326,2024-06-02,2024-06-09,Shipped,298.91
149912,2913,2024-06-10,,Returned,201.28
415322,1443,2024-10-19,2024-10-25,Shipped,302.55
386456,9837,2024-07-10,2024-07-13,Shipped,248.77
748562,9870,2024-07-26,2024-07-28,Shipped,201.95
503318,4159,2024-10-18,,Returned,458.13
287227,9641,2024-12-01,2024-12-07,Pending,322.07
978771,3253,2024-11-20,,Cancelled,279.85
126792,7418,2024-11-17,,Cancelled,128.1
114768,1183,2024-08-29,2024-09-04,Pending,445.14
238313,5081,2024-10-29,2024-11-02,Pending,108.66
195429,4378,2024-06-10,2024-06-12,Pending,119.27
640544,7468,2024-12-24,,Returned,253.43
715486,7059,2024-06-24,2024-06-28,Pending,324.8
199537,2065,2024-11-23,2024-11-25,Pending,40.55
778844,2629,2024-10-12,,Cancelled,135.35
215686,8501,2024-09-02,2024-09-06,Pending,264.7
675819,7204,2024-12-17,2024-12-22,Pending,418.26
572934,4839,2024-07-05,,Returned,168.38
469200,6656,2024-06-15,2024-06-22,Delivered,376.08
150948,3562,2024-09-04,2024-09-06,Shipped,73.22
678961,1114,2024-12-19,2024-12-21,Pending,76.43
949704,5435,2024-09-24,2024-09-30,Shipped,442.95
579574,1736,2024-11-11,2024-11-15,Shipped,49.51
627726,1382,2024-09-02,,Returned,240.97
510631,8742,2024-06-13,,Returned,302.32
336074,2161,2024-12-12,,Cancelled,210.54
208572,2328,2024-11-12,,Returned,360.55
326199,7495,2024-09-19,,Cancelled,103.74
368162,9374,2024-12-19,2024-12-24,Pending,126.78
758052,7612,2024-10-12,2024-10-14,Delivered,242.49
434133,4128,2024-06-17,2024-06-23,Shipped,344.69
697113,8301,2024-10-29,2024-11-01,Delivered,154.37
763604,5948,2024-06-03,,Cancelled,398.43
272623,1221,2024-10-24,2024-10-27,Delivered,114.0
823407,7149,2024-06-05,,Cancelled,331.48
967429,5454,2024-08-27,2024-08-29,Shipped,79.11
200199,5622,2024-12-22,2024-12-26,Shipped,57.2
949298,5989,2024-11-13,,Returned,459.43
727579,7425,2024-10-30,2024-11-02,Pending,160.01
726246,5369,2024-09-17,2024-09-21,Shipped,242.67
464640,4650,2024-07-17,2024-07-22,Pending,260.41
378720,2066,2024-07-04,2024-07-08,Delivered,257.14
683543,3440,2024-08-02,2024-08-06,Delivered,367.3
524205,9282,2024-06-30,2024-07-05,Delivered,422.72
894796,6507,2024-11-24,,Returned,336.1
729829,5841,2024-08-24,,Cancelled,453.92
500578,5510,2024-10-11,,Returned,454.2
968999,1724,2024-11-09,2024-11-16,Pending,69.43
682285,2135,2024-11-02,2024-11-04,Pending,206.81
753033,7408,2024-10-11,2024-10-17,Pending,243.79
282402,1182,2024-12-25,,Cancelled,217.86
793109,7151,2024-07-27,2024-08-01,Pending,446.24
379736,7403,2024-11-15,,Cancelled,326.32
130726,5414,2024-06-26,2024-06-28,Shipped,32.43
272062,5916,2024-08-10,2024-08-12,Delivered,232.69
638581,1269,2024-07-05,2024-07-09,Delivered,202.26
955814,4569,2024-11-24,,Returned,407.35
435372,8398,2024-12-18,,Returned,168.57
802628,9426,2024-08-14,,Returned,355.1
308820,1397,2024-08-27,2024-09-01,Shipped,136.95
848354,5657,2024-06-04,,Cancelled,491.52
940507,2155,2024-09-07,2024-09-11,Delivered,219.09
590483,4604,2024-11-17,,Returned,317.88
550102,3054,2024-07-24,,Cancelled,299.35
730345,5257,2024-08-13,,Returned,327.36
577863,3716,2024-12-30,2025-01-04,Pending,340.3
881515,1211,2024-06-02,,Cancelled,273.41
365083,6335,2024-09-05,2024-09-08,Delivered,399.88
534430,9301,2024-09-05,,Returned,341.14
321970,6440,2024-08-17,2024-08-21,Shipped,279.27
766006,6932,2024-06-05,2024-06-12,Delivered,491.55
760961,3776,2024-11-19,,Returned,348.43
324339,1787,2024-12-12,,Returned,233.12
840811,3904,2024-12-22,2024-12-24,Delivered,301.88
259101,7492,2024-09-17,2024-09-23,Delivered,269.92
748491,4931,2024-07-30,,Cancelled,434.03
708159,4665,2024-12-27,2024-12-30,Pending,323.74
386249,2958,2024-10-02,2024-10-08,Shipped,451.78
574747,6615,2024-12-21,,Cancelled,222.25
734852,5644,2024-11-11,,Cancelled,470.51
383201,2931,2024-08-15,2024-08-19,Shipped,28.22
838793,7783,2024-10-29,2024-11-04,Pending,291.1
749337,6532,2024-08-28,2024-09-04,Shipped,256.37
176981,5373,2024-07-09,,Cancelled,409.27
818968,4451,2024-12-01,,Cancelled,162.71
816255,6259,2024-06-04,,Cancelled,261.06
999856,8494,2024-11-12,2024-11-19,Delivered,20.19
597704,7483,2024-07-17,2024-07-23,Delivered,104.08
856831,6170,2024-10-18,2024-10-25,Pending,261.58
918554,9670,2024-11-04,2024-11-10,Shipped,402.29
429331,7815,2024-09-02,,Cancelled,400.59
693525,6438,2024-09-21,,Returned,223.77
430842,1019,2024-12-14,,Cancelled,433.26
861342,6352,2024-09-18,2024-09-21,Delivered,489.52
393679,4652,2024-06-25,2024-06-29,Pending,134.55
881951,6650,2024-11-04,2024-11-10,Delivered,132.98
546921,3555,2024-08-24,2024-08-28,Delivered,452.2
378649,8044,2024-11-24,2024-11-28,Pending,236.37
192743,9946,2024-06-12,2024-06-14,Delivered,207.97
354446,2257,2024-10-04,,Returned,177.96
530416,5050,2024-11-24,2024-11-28,Shipped,328.59
992209,1588,2024-12-30,2025-01-03,Delivered,339.42
913077,1271,2024-12-01,2024-12-07,Delivered,180.68
519176,3534,2024-07-12,2024-07-19,Delivered,201.52
537002,1678,2024-10-29,2024-11-05,Shipped,408.36
341007,7417,2024-07-27,2024-07-29,Delivered,292.67
495642,5377,2024-07-26,2024-07-31,Shipped,448.22
109488,7629,2024-07-11,,Cancelled,278.26
367959,5584,2024-10-17,2024-10-20,Pending,67.93
273278,1124,2024-08-02,,Returned,456.11
134476,8007,2024-08-09,,Cancelled,478.74
207869,8280,2024-06-26,2024-06-29,Delivered,450.11
416925,8956,2024-10-14,,Returned,371.45
715655,1293,2024-06-03,2024-06-06,Shipped,106.82
692069,1142,2024-06-02,2024-06-07,Pending,23.87
154058,7293,2024-11-14,,Returned,105.12
723499,7820,2024-08-16,,Returned,238.36
162243,7912,2024-06-05,,Cancelled,461.62
211450,2047,2024-08-07,2024-08-11,Shipped,396.26
605417,8351,2024-12-13,,Returned,329.06
317905,9649,2024-10-01,2024-10-05,Shipped,320.62
984343,8675,2024-07-23,2024-07-30,Delivered,404.76
407583,5394,2024-09-03,,Cancelled,34.18
540410,8763,2024-08-16,,Cancelled,22.86
989047,9608,2024-07-25,2024-07-29,Delivered,466.97
487975,7089,2024-10-16,,Returned,78.26
160370,1437,2024-07-12,2024-07-14,Pending,26.91
857139,6270,2024-12-31,2025-01-03,Delivered,218.64
696994,1836,2024-11-23,2024-11-25,Delivered,171.13
831304,9643,2024-11-03,2024-11-08,Delivered,45.62
868607,5846,2024-10-06,,Cancelled,338.12
282965,4599,2024-06-21,2024-06-23,Delivered,272.71
766814,4358,2024-09-02,,Cancelled,170.95
889494,4108,2024-07-17,2024-07-20,Delivered,61.88
273821,7579,2024-11-03,2024-11-10,Shipped,355.39
980676,8927,2024-07-05,2024-07-07,Shipped,407.97
400650,9240,2024-06-14,2024-06-19,Delivered,198.91
289451,4536,2024-11-07,2024-11-14,Delivered,303.71
242319,1283,2024-12-03,2024-12-06,Pending,256.59
125408,6342,2024-07-02,,Cancelled,430.96
975092,5881,2024-09-22,,Cancelled,333.17
248452,1316,2024-08-06,,Cancelled,423.13
896156,9818,2024-09-13,2024-09-20,Shipped,457.93
163525,1171,2024-12-03,,Cancelled,497.01
121497,2098,2024-07-26,,Cancelled,117.21
748907,2583,2024-12-30,2025-01-06,Pending,292.4
952227,6799,2024-11-20,2024-11-24,Delivered,404.01
488262,8987,2024-06-09,2024-06-15,Shipped,288.19
174546,5813,2024-09-15,2024-09-17,Shipped,300.79
182135,6864,2024-08-18,2024-08-20,Shipped,226.83
916208,3586,2024-06-14,2024-06-17,Delivered,245.9
176443,5021,2024-09-20,2024-09-24,Delivered,370.82
765199,7047,2024-07-27,2024-07-29,Delivered,490.82
820254,8795,2024-10-10,2024-10-16,Shipped,295.18
329192,5253,2024-08-02,2024-08-07,Delivered,68.68
770728,4024,2024-10-04,2024-10-06,Pending,104.11
411421,9999,2024-12-19,,Returned,245.55
726062,2390,2024-11-28,2024-12-03,Shipped,129.75
389784,3896,2024-11-09,,Cancelled,58.73
194700,1838,2024-09-12,2024-09-17,Delivered,82.15
227088,7656,2024-07-28,,Cancelled,82.06
306321,5328,2024-08-30,2024-09-02,Delivered,275.54
800517,2895,2024-08-23,2024-08-27,Shipped,67.55
512164,4534,2024-12-23,2024-12-27,Pending,190.16
814350,6225,2024-11-17,2024-11-23,Shipped,78.76
181870,8295,2024-07-26,2024-08-01,Delivered,55.67
533229,4045,2024-07-28,2024-07-30,Pending,327.75
444213,4770,2024-11-22,2024-11-29,Delivered,189.15
127082,2003,2024-10-05,,Cancelled,103.59
888755,6545,2024-08-30,2024-09-05,Pending,459.98
455185,7613,2024-09-15,,Cancelled,208.72
388689,2960,2024-10-25,,Returned,454.77
451842,9951,2024-12-14,,Cancelled,36.44
754477,6399,2024-11-07,2024-11-13,Pending,209.25
972842,2848,2024-10-17,2024-10-23,Shipped,206.09
394973,3037,2024-06-24,2024-06-29,Pending,99.92
751654,9443,2024-11-14,,Cancelled,194.94
694167,3190,2024-07-24,2024-07-28,Shipped,227.53
672332,1088,2024-09-24,,Returned,72.21
934652,6541,2024-07-15,,Cancelled,460.82
753765,9427,2024-12-13,,Returned,377.29
998411,2901,2024-06-11,,Returned,218.21
500787,5221,2024-06-06,,Cancelled,98.14
945467,2140,2024-12-06,,Cancelled,62.51
328511,7693,2024-12-03,2024-12-08,Pending,259.46
411289,5014,2024-07-02,,Returned,490.17
484256,5027,2024-11-10,2024-11-14,Shipped,456.57
238705,8577,2024-08-22,,Cancelled,362.29
137815,3270,2024-12-01,2024-12-05,Pending,471.69
763954,2264,2024-10-10,,Returned,114.57
536085,4481,2024-10-15,2024-10-21,Shipped,57.16
165138,3888,2024-07-24,2024-07-28,Pending,85.14
666006,2145,2024-11-27,2024-12-04,Delivered,298.57
362791,6442,2024-11-23,,Returned,178.61
393992,2859,2024-09-11,2024-09-15,Shipped,413.26
661971,6181,2024-11-27,2024-12-03,Shipped,409.21
925908,7720,2024-12-28,2024-12-31,Delivered,239.31
156923,5773,2024-08-09,,Returned,250.12
533296,7240,2024-09-18,,Cancelled,315.16
946201,3576,2024-06-09,,Cancelled,343.07
170232,9547,2024-12-20,2024-12-23,Pending,106.95
526897,8865,2024-06-12,2024-06-16,Delivered,80.44
683780,1195,2024-07-04,,Cancelled,165.34
507313,7501,2024-09-24,,Cancelled,213.61
487441,2368,2024-08-08,,Returned,22.12
899360,1856,2024-11-20,,Cancelled,50.19
591546,7236,2024-11-16,2024-11-22,Pending,495.33
404009,6191,2024-06-06,,Returned,345.35
312369,4880,2024-12-11,,Cancelled,479.68
482998,9376,2024-11-22,2024-11-29,Delivered,409.13
521943,4166,2024-10-30,2024-11-03,Pending,422.88
273541,2423,2024-09-21,,Cancelled,295.41
600934,1269,2024-09-07,2024-09-10,Shipped,399.83
128366,3132,2024-10-18,,Cancelled,304.11
118789,2168,2024-12-02,,Cancelled,234.07
553592,3462,2024-10-30,2024-11-02,Delivered,312.04
158401,1699,2024-12-04,,Cancelled,31.36
921041,1974,2024-12-06,,Cancelled,25.01
379657,5180,2024-10-22,2024-10-27,Delivered,394.48
594852,8010,2024-06-05,2024-06-12,Shipped,64.92
854116,7404,2024-11-15,,Returned,375.95
677259,8658,2024-10-30,,Cancelled,154.7
943644,5303,2024-09-06,2024-09-13,Delivered,290.44
741801,1809,2024-11-21,,Returned,386.89
480109,3866,2024-11-23,2024-11-25,Delivered,445.23
785130,4116,2024-12-18,2024-12-23,Delivered,112.05
908799,8922,2024-11-14,2024-11-19,Pending,187.09
434700,9295,2024-06-04,,Returned,381.76
109515,8055,2024-09-15,,Returned,75.14
370874,1881,2024-08-25,2024-08-27,Delivered,151.44
113540,3863,2024-11-27,2024-12-04,Pending,144.21
375256,2488,2024-09-13,2024-09-16,Delivered,363.61
311690,2918,2024-06-20,2024-06-25,Shipped,167.61
607439,8947,2024-07-06,2024-07-09,Delivered,474.72
905145,3001,2024-09-01,2024-09-07,Shipped,126.67
950061,5336,2024-08-23,2024-08-28,Pending,456.31
670387,6391,2024-08-25,2024-09-01,Shipped,496.75
116505,2539,2024-11-18,,Returned,171.21
257243,1467,2024-08-19,2024-08-23,Shipped,215.16
240893,7629,2024-07-30,2024-08-02,Delivered,454.99
666200,1361,2024-10-08,,Cancelled,211.68
353734,5674,2024-10-13,,Cancelled,81.3
225718,1685,2024-06-06,2024-06-13,Shipped,224.85
419043,8653,2024-09-13,2024-09-15,Delivered,334.78
215284,7044,2024-10-14,2024-10-20,Shipped,424.63
459383,6477,2024-09-05,,Returned,55.63
343233,2556,2024-12-26,2024-12-31,Pending,477.95
442534,7854,2024-11-12,2024-11-17,Delivered,469.07
697552,3909,2024-06-23,2024-06-30,Delivered,271.03
287931,5901,2024-09-28,,Cancelled,254.57
551601,9562,2024-12-12,,Cancelled,481.52
297152,2097,2024-12-05,2024-12-09,Pending,232.8
826933,1931,2024-11-10,2024-11-17,Delivered,347.19
482229,7375,2024-07-05,2024-07-10,Delivered,449.98
498212,9401,2024-09-05,2024-09-10,Shipped,191.88
900509,6036,2024-11-15,,Cancelled,41.17
505278,5546,2024-12-26,2024-12-30,Delivered,460.19
116001,8904,2024-12-20,2024-12-27,Pending,359.21
479975,3412,2024-12-15,2024-12-18,Delivered,205.38
611871,5617,2024-10-22,2024-10-26,Delivered,107.09
749195,1430,2024-11-23,,Returned,373.38
751821,9860,2024-08-26,2024-08-31,Shipped,134.15
765184,9575,2024-06-15,2024-06-19,Shipped,194.88
199191,9934,2024-06-04,2024-06-07,Shipped,227.76
923967,4552,2024-12-11,,Cancelled,463.73
837093,9582,2024-08-06,2024-08-09,Shipped,73.93
510676,6367,2024-09-18,2024-09-21,Delivered,342.03
965825,4711,2024-10-04,,Returned,403.79
423272,3138,2024-06-16,2024-06-19,Pending,104.41
176513,7584,2024-06-27,2024-07-03,Pending,453.63
916826,8452,2024-07-14,,Returned,246.32
545912,8744,2024-11-28,2024-12-02,Shipped,401.84
625599,4671,2024-07-23,2024-07-29,Delivered,183.93
819144,8561,2024-12-04,2024-12-10,Pending,178.96
195971,9752,2024-11-27,2024-12-03,Pending,92.9
509923,7777,2024-06-13,,Cancelled,480.58
265915,1134,2024-10-04,2024-10-07,Shipped,172.09
494614,9438,2024-09-12,,Returned,182.94
426602,6556,2024-10-01,2024-10-03,Delivered,196.68
428675,2342,2024-06-11,,Returned,457.35
116067,8442,2024-09-17,2024-09-21,Delivered,98.17
360375,7333,2024-11-01,2024-11-03,Shipped,116.16
491536,4969,2024-10-27,2024-10-29,Pending,486.33
375801,5267,2024-07-31,,Cancelled,177.99
331956,9836,2024-11-29,,Returned,51.37
498159,6574,2024-08-18,2024-08-20,Pending,280.74
724757,7356,2024-09-06,2024-09-10,Shipped,307.59
971925,4909,2024-11-30,,Returned,197.68
523679,9488,2024-09-29,2024-10-01,Delivered,223.48
341518,4439,2024-11-04,2024-11-11,Delivered,93.38
970869,6832,2024-10-21,,Returned,358.9
130183,5282,2024-10-02,2024-10-07,Shipped,336.53
819874,2306,2024-07-22,2024-07-27,Pending,171.67
972812,4969,2024-10-04,2024-10-10,Pending,498.91
275075,1999,2024-08-30,2024-09-02,Pending,398.71
394047,4237,2024-08-02,,Returned,360.33
539462,9276,2024-09-24,,Returned,217.98
292832,9850,2024-11-21,,Cancelled,465.61
893360,6554,2024-08-18,2024-08-22,Delivered,287.81
663468,6661,2024-11-08,,Cancelled,477.55
597671,8655,2024-12-10,,Returned,141.28
102740,5829,2024-11-02,2024-11-05,Delivered,234.55
136289,9716,2024-06-26,,Cancelled,419.54
353065,8926,2024-07-15,2024-07-21,Shipped,423.61
184462,4115,2024-07-23,,Cancelled,368.12
245942,7001,2024-11-09,2024-11-13,Delivered,450.04
761459,9818,2024-09-07,2024-09-10,Pending,469.39
521321,2226,2024-07-27,2024-07-30,Pending,231.93
773851,9697,2024-08-24,,Returned,462.14
464591,5377,2024-08-16,2024-08-21,Pending,452.86
491591,2250,2024-12-22,,Cancelled,50.99
504235,9981,2024-11-28,,Returned,351.51
751128,8071,2024-11-19,,Cancelled,57.84
261707,5019,2024-10-28,2024-10-30,Pending,151.09
592375,3434,2024-11-12,,Cancelled,427.07
829196,3162,2024-09-19,2024-09-26,Pending,161.82
510475,5605,2024-11-15,,Cancelled,115.64
508272,4582,2024-08-26,,Cancelled,437.06
609628,9852,2024-12-20,,Cancelled,397.56
811506,8648,2024-08-31,2024-09-06,Delivered,156.92
203546,6897,2024-12-31,2025-01-03,Delivered,302.22
916604,4894,2024-07-07,2024-07-11,Pending,331.88
819650,1717,2024-09-22,,Cancelled,162.56
613950,7401,2024-06-30,2024-07-02,Delivered,165.71
936165,4887,2024-09-02,,Returned,397.22
174251,5873,2024-09-12,,Cancelled,471.08
945585,6576,2024-08-22,2024-08-27,Shipped,86.94
711937,6881,2024-08-08,,Returned,56.18
789506,1529,2024-07-27,,Returned,202.56
127138,7607,2024-12-14,2024-12-16,Shipped,34.74
371786,5815,2024-06-13,,Returned,446.82
394414,9162,2024-07-14,2024-07-19,Shipped,51.11
577304,4804,2024-10-01,2024-10-04,Delivered,135.16
551821,1796,2024-06-18,,Cancelled,411.88
117801,5472,2024-10-22,2024-10-25,Pending,311.46
740168,5562,2024-09-18,,Cancelled,307.3
311502,3769,2024-08-28,,Cancelled,423.73
294195,6613,2024-12-16,,Returned,373.35
793335,1563,2024-10-13,2024-10-17,Shipped,110.14
625790,6156,2024-12-19,2024-12-22,Delivered,453.51
221752,6817,2024-12-05,2024-12-09,Pending,112.75
263625,4652,2024-08-14,,Cancelled,282.13
964304,5196,2024-10-30,2024-11-02,Delivered,218.82
747225,6005,2024-09-07,2024-09-12,Delivered,165.73
498971,8987,2024-12-04,,Cancelled,397.53
377212,1922,2024-12-08,2024-12-11,Delivered,125.78
579482,8329,2024-08-29,2024-09-04,Delivered,493.49
369132,1158,2024-11-06,,Returned,25.37
882201,8505,2024-06-01,2024-06-08,Pending,493.55
163584,3364,2024-12-08,2024-12-13,Delivered,159.52
279809,6546,2024-10-06,2024-10-13,Delivered,94.44
535124,6316,2024-11-18,,Returned,58.39
328847,5786,2024-11-12,2024-11-15,Shipped,293.11
301389,4244,2024-11-21,,Cancelled,135.64
776569,7973,2024-09-11,2024-09-17,Delivered,237.3
575542,4248,2024-12-27,2024-12-30,Pending,443.73
422612,5144,2024-06-01,,Returned,467.01
137165,6504,2024-10-08,,Returned,492.67
290869,4121,2024-09-11,2024-09-13,Pending,248.27
164680,8962,2024-12-29,2025-01-04,Delivered,359.16
610651,6626,2024-08-18,2024-08-21,Pending,372.24
296342,9757,2024-06-08,,Cancelled,433.67
900560,9782,2024-12-30,,Cancelled,33.28
583003,2265,2024-06-28,,Cancelled,456.24
117612,5973,2024-06-05,2024-06-12,Shipped,108.94
589491,2027,2024-11-11,2024-11-16,Delivered,73.55
912135,6424,2024-08-27,,Returned,237.97
247963,3021,2024-07-12,,Cancelled,87.21
397666,3583,2024-10-24,2024-10-31,Delivered,236.86
782256,5137,2024-11-13,,Cancelled,334.86
119723,8613,2024-12-27,,Returned,349.46
281919,4098,2024-07-11,,Returned,117.21
235795,8158,2024-08-25,2024-08-29,Pending,54.56
271290,1368,2024-10-05,2024-10-11,Shipped,499.0
191058,4643,2024-08-18,,Returned,110.81
676870,6380,2024-07-11,2024-07-15,Delivered,161.4
358821,4742,2024-06-24,,Returned,483.93
423127,4289,2024-11-17,2024-11-19,Pending,410.42
410581,5195,2024-08-01,2024-08-07,Delivered,197.69
313143,6018,2024-10-04,,Returned,203.18
425830,5436,2024-07-12,2024-07-19,Delivered,48.04
668876,7215,2024-09-20,,Returned,217.02
304888,4241,2024-12-31,,Cancelled,399.83
504486,2668,2024-10-13,2024-10-15,Delivered,397.1
502713,6831,2024-12-02,2024-12-09,Pending,376.98
317359,1317,2024-09-22,,Returned,478.49
479672,9517,2024-07-22,2024-07-24,Shipped,233.27
512606,5270,2024-06-29,,Returned,67.16
